	1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	5_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	7_clip	8_clip	9_clip
sq56	0	1	1	242	0	8	9	454	0	3	2	0	25	0	0	25	287	1	37	136	517	0	1	0	1	18	57	73	1054	737	1	234	758	338	18	22	1459	1622	17	8	287	1153	0	0	58	417	886	351	301	392	760	2	386	541	535	543	268	490	446	333	1	317	0
sq57	99	58	111	52	63	51	44	7	190	169	139	98	80	64	88	69	19	78	65	50	21	9	136	3	2	2	1313	1291	430	49	913	432	61	60	650	1481	423	106	288	467	1196	38	45	283	411	188	102	515	359	458	227	15	224	361	388	295	402	388	616	479	18	36	37
sq58	144	372	440	485	201	253	230	80	405	484	501	170	250	161	199	170	130	115	225	201	178	20	305	17	7	17	447	359	324	139	664	337	157	317	351	489	535	274	135	227	275	144	146	431	381	214	143	329	290	308	208	52	155	253	244	183	289	367	404	288	79	130	123
sq59	22	82	84	100	71	101	95	116	26	57	61	32	101	12	25	83	61	7	126	164	92	1	35	18	17	7	460	465	472	201	453	579	414	112	308	621	769	416	146	370	520	263	5	487	1175	723	741	507	425	463	310	8	220	331	314	280	259	416	605	425	9	74	28
sq60	12	39	51	298	34	71	85	399	32	75	115	25	367	20	35	71	310	19	108	148	274	4	35	14	38	38	348	301	459	416	79	555	606	315	175	322	524	730	56	73	425	519	8	31	208	389	516	514	463	515	425	14	301	410	389	428	256	432	607	483	32	571	13
sq61	2	14	19	122	4	5	6	116	6	4	7	3	26	1	3	25	74	1	34	118	181	0	7	0	0	1	886	747	641	177	12	163	274	138	680	785	1414	708	153	137	866	299	0	7	60	102	125	341	336	379	483	2	363	548	530	438	424	338	367	217	1	103	8
sq62	173	222	308	242	407	500	484	388	229	246	288	134	378	184	136	195	383	182	236	439	245	39	237	22	18	44	595	492	229	93	228	385	332	454	301	606	279	152	250	406	674	158	132	138	301	205	220	237	167	185	205	48	107	193	227	150	141	192	202	213	45	524	69
sq63	2	7	6	233	7	20	23	291	1	6	12	6	95	5	6	67	351	2	80	198	468	9	9	41	189	34	21	20	527	633	4	160	478	330	13	13	587	2430	3	5	73	1336	2	0	20	147	338	365	291	267	632	3	553	617	564	668	220	684	536	388	2	526	2
sq64	1137	410	346	16	800	294	239	91	754	236	199	410	107	1566	852	357	84	904	372	92	41	1362	334	592	418	54	16	8	20	1	113	140	32	101	4	18	6	18	4	9	6	20	1102	917	303	61	80	56	57	59	5	306	6	3	6	6	13	12	34	22	344	193	421
sq65	54	72	92	37	85	65	47	18	94	80	64	51	25	63	75	48	24	68	71	92	22	2	79	1	2	2	1142	1017	436	62	104	396	39	57	602	1077	364	112	271	247	883	77	52	33	219	165	73	470	420	478	231	24	305	478	393	365	367	440	623	443	7	22	39
