	1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	5_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	7_clip	8_clip	9_clip
sq1347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	1	0	0	0	1	34	0	0	0	1	40	0	0	0	0	0	0	1	0	4	4	0	0	3	0	1	1	0	1	0	0	0	0
sq1348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	14	2	0	0	1	3	2	2	7	3	1	0	0	18	8	1	1	2	4	0	0	2	2	2	1	1	2	2	3	0	0	0
sq1349	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	2	0	1	0	5	0	0	1	0	0	0	0	0	2	0	0	7	4	0	0	1	17	0	0	0	15	0	0	0	0	0	0	0	0	4	0	6	3	5	5	1	3	1	1	0	4	0
sq1350	0	0	2	2	1	1	4	14	0	0	0	0	0	0	1	3	8	1	3	7	4	0	0	0	0	9	0	0	0	0	0	10	9	4	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	2	1	4	0	1	0
sq1351	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	4	5	0	0	0	0	0	1	0	0	0	0	0	6	4	4	0	0	0	7	0	0	0	2	0	0	0	5	3	1	3	0	1	0	2	18	12	1	4	5	3	2	0	0	0
sq1352	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	1	4	0	0	3	3	0	0	11	6	0	0	0	0	0	0	0	3	14	1	0	3	5	0	1	0	9	0	3	2	4	0	0	1	0
sq1353	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	9	3	1	0	2	1	0	3	3	10	2	0	1	1	1	0	0	0	0	2	0	2	2	1	0	5	4	6	3	8	4	4	1	0	0	0
sq1354	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	4	0	2	0	2	2	0	0	0	0	0	1	3	10	7	2	5	1	0	2	3	8	12	1	0	0	5	0	0	0	5	1	2	0	2	1	0	1	2	1	2	0	0	0	0	0	0	0
sq1355	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	1	5	2	1	0	1	3	1	1	2	4	17	0	1	2	2	0	0	0	1	2	2	4	2	4	0	2	2	3	0	1	0	0	0	0	0	0
sq1356	0	0	0	5	0	0	0	13	0	0	0	0	0	0	0	0	21	0	0	0	5	0	0	1	1	0	0	0	1	1	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	1	1	2	0	1	0	0	0	24	0
sq1357	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	3	3	0	0	0	3	1	0	10	17	0	0	0	7	0	0	0	0	0	0	1	0	0	0	9	2	3	6	1	3	4	1	0	8	0
sq1358	0	0	0	3	0	0	0	0	7	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	6	12	0	0	4	0	0	0	1	6	1	0	1	0	17	0	1	1	1	0	0	3	4	3	3	0	4	1	0	0	3	3	2	1	1	0	0
sq1359	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	4	1	0	0	1	17	0	0	0	11	0	0	0	0	1	0	1	1	6	0	6	3	3	7	2	6	2	1	0	2	0
sq1360	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	12	0	0	0	0	13	0	0	0	8	0	0	0	1	5	3	2	1	9	0	2	5	5	5	4	4	0	1	0	2	0
sq1361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	2	0	0	1	0	0	4	3	16	5	0	2	1	1	0	2	0	1	0	0	1	2	1	0	4	2	8	0	3	2	2	0	0	0	0
sq1362	3	1	1	1	3	1	1	0	1	2	3	0	0	5	1	4	0	2	0	0	0	3	3	0	3	0	2	4	0	0	0	0	0	0	2	4	0	0	0	0	0	0	5	0	0	0	0	1	1	1	0	3	1	5	3	3	1	5	6	8	0	0	0
sq1363	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	2	0	1	2	2	0	1	0	0	1	2	3	7	4	0	0	4	0	0	0	4	8	0	0	1	11	1	0	1	1	0	1	0	1	5	0	0	1	2	6	2	2	1	1	0	1	0
sq1364	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	4	0	1	3	1	0	0	4	13	0	0	0	18	0	0	0	1	1	0	2	0	1	0	2	4	5	8	0	5	2	1	0	1	0
sq1365	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	1	0	0	3	2	1	0	3	5	0	0	2	8	0	0	1	0	1	1	1	4	4	0	4	4	2	6	1	4	3	0	0	1	0
sq1366	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	2	0	0	6	1	0	0	3	17	0	0	0	11	0	0	0	1	2	2	2	3	5	0	1	2	4	2	0	3	5	2	0	8	0
sq1367	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	4	0	0	2	0	0	1	9	8	0	0	1	6	0	0	0	0	0	0	5	1	1	0	3	2	3	2	3	4	2	3	0	0	0
sq1368	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	4	0	0	11	1	0	0	1	14	0	0	2	9	0	0	0	0	2	0	1	1	2	0	4	2	0	6	0	3	4	0	0	1	0
sq1369	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	14	0	0	9	2	0	0	5	17	0	0	3	4	7	0	0	1	0	0	0	0	2	1	0	0	2	2	3	2	1	3	3	0	0	0	0
sq1370	1	2	2	0	2	1	1	3	0	0	0	0	1	2	0	0	0	1	0	0	0	2	0	1	3	0	0	0	0	0	1	3	1	1	0	0	1	0	0	0	0	0	0	41	16	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
sq1371	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	4	0	0	3	2	0	0	3	6	0	0	4	14	0	0	0	1	5	1	1	1	6	0	7	1	3	5	1	2	1	1	0	0	0
sq1372	0	0	0	6	0	0	0	7	0	0	0	0	14	0	0	0	16	0	1	1	8	0	1	0	0	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	20	0
sq1373	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	2	0	0	7	2	0	0	4	9	0	0	1	15	0	0	0	1	3	1	1	1	4	0	0	7	6	2	1	4	3	2	0	3	0
sq1374	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	7	11	0	0	3	0	1	0	7	14	2	0	6	8	0	0	0	0	2	0	1	1	5	0	1	4	4	1	3	0	0	0	0	0	0
sq1375	0	0	0	0	0	2	3	10	0	0	0	0	0	4	0	0	0	0	2	0	1	31	0	12	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	4	1	0	4	0	9	0	0	0	0	0	1	0	0	1	2	0	0	0
sq1376	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	1	0	1	0	2	1	0	0	0	2	4	6	1	1	12	0	0	1	2	1	1	0	1	3	0	0	3	0	4	1	3	2	2	0	0	0
sq1377	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9	0	0	3	0	0	0	1	7	0	0	0	12	0	0	0	1	1	0	3	2	5	0	2	5	1	6	1	4	2	0	0	1	0
sq1378	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	11	1	0	0	1	6	0	0	0	12	0	0	0	2	1	3	2	3	9	0	3	2	1	5	1	5	0	0	0	1	0
sq1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	2	3	0	1	3	2	0	0	7	9	0	0	1	5	0	0	0	4	5	1	2	1	3	0	3	1	6	5	0	5	2	3	0	3	0
sq1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	17	26	1	0	0	0	0	0	0	0	2	1	1	0	0	1	2	1	0	0	0	0	0	0	0
sq1381	1	0	3	1	2	1	0	0	6	1	3	1	0	3	1	1	0	4	2	0	0	3	0	1	1	0	3	1	0	0	4	3	0	2	0	1	0	0	0	0	1	2	0	21	0	1	0	1	2	1	0	0	0	0	0	1	3	0	0	8	2	0	0
sq1382	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	4	0	0	2	3	1	0	1	14	0	0	1	7	0	0	0	0	0	1	1	0	3	0	5	1	4	4	0	4	0	4	0	0	0
sq1383	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	1	5	0	2	5	2	0	0	0	3	0	0	2	6	0	0	0	3	5	4	0	1	3	0	3	2	1	3	1	4	2	3	0	4	0
sq1384	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	3	11	0	0	0	13	0	0	0	1	3	2	1	1	2	0	0	2	2	1	0	4	1	0	0	0	0
sq1385	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	3	3	0	0	1	2	0	0	0	8	0	0	4	17	0	0	2	0	1	1	1	1	3	0	1	7	1	2	0	0	2	2	0	1	0
sq1386	0	0	0	1	0	5	1	2	0	3	2	1	1	0	0	2	0	0	1	2	4	0	1	0	0	1	0	0	3	0	0	1	1	2	0	3	2	6	0	0	0	5	0	0	0	1	5	1	2	0	2	1	0	2	3	3	3	2	1	0	0	3	0
sq1387	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	7	3	1	2	0	3	7	3	6	13	6	12	4	0	0	0
sq1388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	3	19	0	0	0	33	0	0	0	0	0	3	2	2	2	0	1	5	3	3	2	3	4	0	0	0	0
sq1389	2	9	8	0	8	3	1	1	5	3	0	6	0	0	6	1	0	0	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	2
sq1390	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	0	0	0	2	18	0	0	2	6	0	0	0	0	0	1	2	1	7	0	1	7	5	9	1	8	6	1	0	1	0
sq1391	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	3	3	3	0	7	9	0	0	1	10	0	0	0	0	0	1	0	1	1	0	3	1	6	2	2	3	3	2	0	1	1
sq1392	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	8	2	0	0	0	9	0	0	0	14	0	0	0	0	2	5	1	0	6	0	0	4	3	3	0	0	3	1	0	1	0
sq1393	0	0	0	1	3	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	1	4	0	0	0	3	2	1	4	13	1	1	1	4	0	0	1	1	3	0	0	6	4	0	1	1	2	2	0	3	2	2	1	3	0
sq1394	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	1	0	2	4	2	0	0	0	6	0	0	0	16	0	0	0	0	0	2	1	2	4	0	0	4	5	7	1	1	3	0	0	2	0
sq1395	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	2	0	0	7	1	0	0	0	9	0	0	1	13	0	0	0	1	3	0	1	1	5	0	3	3	2	4	2	6	1	1	0	2	0
sq1396	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	3	0	0	0	1	5	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
sq1397	1	0	1	0	0	1	0	0	2	0	0	1	0	0	1	10	2	1	4	3	1	1	1	0	1	48	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0
sq1398	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	7	0	1	13	2	0	0	0	12	0	0	0	22	0	0	0	0	1	0	1	0	3	0	1	3	9	3	1	2	4	0	0	1	0
sq1399	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	2	0	1	4	2	0	0	4	14	0	0	0	11	0	0	0	0	0	0	1	1	6	0	3	4	5	5	0	8	1	0	0	1	0
sq1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	17	1	0	0	0	0	0	0	5	2	2	1	0	3	1	5	2	14	2	2	0	0	0	0
sq1401	11	0	0	0	0	0	0	0	7	2	0	3	0	3	3	1	0	3	0	0	0	4	0	1	5	1	0	0	0	2	11	3	0	0	0	1	0	0	1	0	0	0	14	4	0	0	0	1	0	0	0	3	0	0	0	1	1	0	2	0	1	1	0
sq1402	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	12	1	0	0	2	1	0	0	6	10	0	0	1	5	0	0	0	1	6	2	1	1	3	0	2	4	1	2	1	3	5	1	0	1	0
sq1403	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	1	0	1	0	0	5	0	0	3	2	0	0	3	10	0	0	0	10	0	0	0	1	1	1	0	1	3	0	4	1	2	4	0	5	3	3	0	3	0
sq1404	0	0	0	1	0	1	1	2	0	1	0	0	25	0	0	0	11	0	0	3	4	0	1	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
sq1405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	1	4	0	0	0	2	15	0	0	0	13	0	0	0	1	4	4	0	0	8	0	1	1	6	5	1	2	2	0	0	2	0
sq1406	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	10	5	0	8	8	0	1	0	0	13	0	0	0	5	0	0	0	2	3	0	0	1	7	0	0	1	2	0	0	1	3	2	0	1	0
sq1407	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	3	0	1	2	2	0	0	1	2	0	0	0	1	2	0	2	4	2	0	0	2	14	0	0	0	12	0	0	0	2	0	0	5	0	2	0	4	1	1	5	0	1	2	1	0	2	0
sq1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	12	1	0	0	0	0	0	9	16	0	0	3	13	2	0	0	0	1	0	3	0	0	2	0	2	1	3	2	1	2	2	2	0	0	0
sq1409	4	0	0	0	0	0	0	0	0	12	15	4	9	2	0	4	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	10	8	0
sq1410	3	3	1	3	0	0	2	11	0	0	0	1	0	0	0	4	5	0	4	5	3	0	1	0	0	5	6	3	6	0	0	0	0	2	0	4	1	3	0	0	1	0	1	0	2	1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0
sq1411	0	0	0	13	0	0	0	6	0	0	0	2	3	0	0	0	7	0	0	3	9	0	0	0	0	0	0	0	0	2	0	0	3	8	0	0	0	3	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	1	1	4	0	16	0
sq1412	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	0	1	0	0	2	4	0	0	0	0	0	0	0	1	4	0	0	6	3	0	0	1	8	0	0	0	11	0	0	0	2	3	1	1	4	4	0	2	3	1	3	0	1	3	0	0	1	0
sq1413	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	5	1	0	0	2	2	0	1	13	4	0	0	2	13	0	0	0	0	1	1	2	2	3	0	0	1	2	4	0	2	2	1	2	0	1	0
sq1414	0	1	0	4	0	0	1	0	0	0	0	0	2	1	0	0	1	0	3	0	1	0	0	0	0	0	0	3	3	3	1	3	2	0	4	3	4	3	1	0	2	1	1	0	0	0	1	0	3	5	3	1	2	1	3	7	0	1	0	2	0	2	1
sq1415	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	1	2	7	9	24	6	0	0	2	5	3	0	0	4	2	0	0	2	0	3	1	1	1	0	0	0	0	0	0	0	1	1	0	3	0	0
sq1416	0	0	1	0	0	0	0	2	2	0	0	2	3	0	0	0	1	0	0	0	0	0	2	0	0	0	3	3	6	0	0	1	1	0	2	0	4	1	0	0	2	0	0	4	5	6	4	1	2	2	1	0	3	2	1	0	0	5	1	2	0	3	0
sq1417	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	8	0	1	10	2	0	0	0	17	0	0	0	9	0	0	0	0	1	0	1	1	2	0	2	7	3	3	0	3	3	0	0	1	0
sq1418	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	23	10	1	0	0	0	0	0	1	2	0	0	0	4	2	0	3	0	3	4	0	0	1	1	1	1	3	3	3	0	0	0
sq1419	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	7	7	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	14	0	0	0	8	0	0	0	0	0	0	1	1	3	0	6	3	6	1	0	4	2	2	0	2	0
sq1420	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	1	1	0	0	0	0	10	0	1	19	0	0	0	0	7	0	0	0	13	0	0	0	0	1	0	1	2	1	0	2	2	2	3	0	1	4	1	0	1	0
sq1421	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	4	2	1	2	0	1	2	0	3	5	7	3	0	1	5	2	0	0	2	1	1	3	3	0	0	0	0	1	2	1	1	4	2	4	0	3	0
sq1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	1	3	1	0	2	6	0	0	1	2	12	0	0	0	0	0	0	2	3	6	1	0	0	2	5	0	7	4	5	1	0	0	0
sq1423	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	5	0	0	0	0	0	0	0	0	14	0	1	6	2	0	0	1	8	0	0	0	7	0	0	0	0	0	4	1	1	4	0	1	3	1	3	1	3	3	0	0	4	0
sq1424	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	3	2	0	0	1	18	0	0	0	8	0	0	0	0	0	0	0	2	0	0	8	5	1	4	0	4	0	1	0	3	0
sq1425	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	2	1	0	0	3	11	0	0	0	23	0	0	0	0	1	1	2	0	3	0	1	2	4	1	1	3	0	1	0	3	0
sq1426	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	0	10	1	0	0	0	16	0	0	0	14	0	0	0	0	0	0	1	1	5	0	2	7	6	4	0	2	3	1	0	2	0
sq1427	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	6	5	0	1	4	5	0	0	0	11	0	0	0	0	0	2	0	4	6	0	0	2	2	3	0	2	2	0	0	0	0
sq1428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	3	3	0	0	1	16	0	0	0	24	0	0	0	1	0	0	0	4	4	0	0	2	1	3	1	2	1	2	0	2	0
sq1429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	1	15	0	0	0	11	0	0	0	0	0	0	1	1	6	0	4	2	5	5	2	1	1	1	0	2	0
sq1430	1	0	0	1	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	4	0	0	0	4	4	1	0	2	3	1	0	1	1	1	2	2	2	2	0	3	1	2	5	1	4	2	0	0	3	0
sq1431	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	4	0	0	0	2	0	0	0	0	4	0	1	4	2	0	0	0	14	0	0	0	8	0	0	0	0	0	0	0	0	3	0	5	6	3	10	2	5	0	2	0	1	0
sq1432	0	0	0	1	3	1	0	0	0	0	0	0	2	0	1	1	0	2	1	0	0	0	0	0	0	0	3	4	2	2	0	0	0	2	1	6	10	4	0	0	2	1	1	0	0	3	1	3	0	2	3	0	1	4	2	0	1	1	1	2	0	0	0
sq1433	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	6	0	0	8	1	0	0	4	17	0	0	0	11	0	0	0	0	1	1	1	1	5	0	3	2	3	1	0	5	2	0	0	1	0
sq1434	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	2	0	1	3	3	0	0	0	0	0	0	0	2	4	0	0	2	6	0	0	9	10	0	0	0	4	0	0	0	0	5	0	1	2	1	0	2	3	1	1	0	4	3	0	0	3	0
sq1435	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	1	0	1	1	2	0	0	0	0	0	0	0	3	1	0	5	1	1	0	1	1	9	1	1	1	6	0	0	0	3	3	2	0	4	2	0	5	1	5	1	3	0	1	0	0	2	0
sq1436	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	4	0	0	0	0	0	0	0	1	5	0	0	9	1	0	0	1	8	0	0	0	7	0	0	0	0	4	1	0	0	1	0	1	4	3	4	2	3	2	1	0	2	0
sq1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	1	23	0	0	0	17	0	0	0	0	0	1	0	0	3	0	4	2	3	6	3	4	2	1	0	0	0
sq1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	9	1	0	0	0	0	2	6	20	1	2	5	10	0	0	0	2	1	0	1	1	1	2	0	0	1	1	3	3	0	2	0	0	0	0
sq1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	0	0	2	14	0	0	0	13	0	0	1	1	5	1	2	1	4	0	1	1	7	2	0	1	0	1	0	1	0
sq1440	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	1	1	0	0	1	8	6	3	0	1	1	2	2	0	4	12	0	0	0	3	0	0	0	0	0	0	1	0	7	1	1	2	2	1	1	1	1	0	0	0	4
sq1441	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	8	5	0	0	1	12	0	0	0	6	0	0	0	2	6	0	0	1	4	0	0	2	1	1	1	0	1	0	0	4	0
sq1442	0	0	0	4	0	0	0	4	0	1	3	0	3	0	0	0	11	0	0	2	3	0	1	0	0	0	0	0	0	0	3	10	1	4	0	0	1	0	0	0	3	0	0	0	1	1	1	1	2	2	1	0	1	0	0	0	0	2	3	3	1	8	0
sq1443	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	1	0	4	2	0	0	0	1	0	0	2	8	0	0	1	8	0	0	2	2	8	0	0	2	0	0	2	0	3	5	1	1	1	2	0	3	0
sq1444	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	3	0	2	10	0	0	0	1	1	0	0	0	10	0	0	0	0	4	2	1	0	6	0	4	3	2	5	0	9	1	1	0	1	0
sq1445	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	0	0	2	0	0	0	0	0	2	0	0	7	0	0	7	1	0	0	0	5	0	0	0	11	0	0	0	2	2	3	2	3	2	0	0	2	2	4	0	5	3	0	0	4	0
sq1446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	9	2	1	0	4	7	0	0	0	15	0	0	0	0	1	0	0	1	2	0	2	2	3	1	2	0	0	3	0	2	0
sq1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	10	48	0	0	7	0	4	0	0	0	8	0	0	0	0
sq1448	11	0	0	0	2	0	0	0	4	0	0	3	0	3	2	1	0	10	0	0	0	2	1	4	3	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	2	2	1	0	6	0	0	0	0	0	0	0	0	3	0	0
sq1449	2	1	0	1	0	0	4	3	1	1	3	0	3	1	0	0	4	2	0	2	0	9	1	7	3	1	0	0	1	1	1	3	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	7	0	3	0	0	0	0	0	1	0	2	1	2	0	3	0
sq1450	1	2	2	0	0	0	0	2	8	0	4	3	0	1	3	1	2	4	0	0	0	4	0	1	5	3	0	0	0	0	0	2	0	5	0	0	0	0	0	0	2	0	5	0	1	0	0	1	0	0	0	11	0	0	0	1	1	1	0	1	3	2	0
