	Kingdom	Phylum	Class	Order	Family	Genus
sq1835	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	AEGEAN-169_marine_group_unclassified
sq1836	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae_unclassified
sq1837	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group	UBA10353_marine_group_unclassified	UBA10353_marine_group_unclassified
sq1838	Bacteria	Proteobacteria	Gammaproteobacteria	Ga0077536	Ga0077536_unclassified	Ga0077536_unclassified
sq1839	Bacteria	Acidobacteria	Subgroup_6	Subgroup_6_unclassified	Subgroup_6_unclassified	Subgroup_6_unclassified
sq1840	Archaea	Thaumarchaeota	Marine_Benthic_Group_A	Marine_Benthic_Group_A_unclassified	Marine_Benthic_Group_A_unclassified	Marine_Benthic_Group_A_unclassified
sq1841	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_I_unclassified
sq1842	Bacteria	Acidobacteria	Subgroup_6	Subgroup_6_unclassified	Subgroup_6_unclassified	Subgroup_6_unclassified
sq1843	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	OM75_clade
sq1844	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae_unclassified
sq1845	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Halobacteriovorax
sq1846	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
sq1847	Bacteria	Proteobacteria	Deltaproteobacteria	PB19	PB19_unclassified	PB19_unclassified
sq1848	Bacteria	Verrucomicrobia	Verrucomicrobiae	Arctic97B-4_marine_group	Arctic97B-4_marine_group_unclassified	Arctic97B-4_marine_group_unclassified
sq1849	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ib
sq1850	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	AT-s3-44
sq1851	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	Micavibrionaceae_unclassified
sq1852	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_I_unclassified
sq1853	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
sq1854	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	SAR86_clade_unclassified	SAR86_clade_unclassified
sq1855	Bacteria	Verrucomicrobia	Verrucomicrobiae	Arctic97B-4_marine_group	Arctic97B-4_marine_group_unclassified	Arctic97B-4_marine_group_unclassified
sq1856	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
sq1857	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
sq1858	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ib
sq1859	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	JL-ETNP-F27
sq1860	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopelagicus
sq1861	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_unclassified
sq1862	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter
sq1863	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	AT-s3-44
sq1864	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	BIrii41_unclassified
sq1865	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae_unclassified
sq1866	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	SAR86_clade_unclassified	SAR86_clade_unclassified
sq1867	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae_unclassified
